list-none-none,1,10,1,30,202949,6764
list-none-none,1,100,1,300,357485,1191
list-none-none,1,1000,1,3000,19511412,6503
list-none-none,1,10000,1,30000,1369011631,45633
list-none-none,1,20000,1,60000,5133963996,85566
list-none-none,2,1,1,6,182708,30451
list-none-none,2,10,1,60,178700,2978
list-none-none,2,100,1,600,932222,1553
list-none-none,2,1000,1,6000,71625964,11937
list-none-none,4,1,1,12,251508,20959
list-none-none,4,10,1,120,263771,2198
list-none-none,8,1,1,24,527570,21982
list-none-none,8,10,1,240,491118,2046
list-none-none,12,1,1,36,824830,22911
list-none-none,12,10,1,360,751000,2086
list-i-none,2,1,1,6,194703,32450
list-i-none,2,2,1,12,224573,18714
list-i-none,2,8,1,48,173485,3614
list-i-none,4,1,1,12,251648,20970
list-i-none,4,2,1,24,249554,10398
list-i-none,4,4,1,48,265295,5526
list-i-none,4,16,1,192,302236,1574
list-i-none,8,1,1,24,504408,21017
list-i-none,8,2,1,48,513617,10700
list-i-none,12,1,1,36,829876,23052
list-i-none,12,2,1,72,784385,10894
list-d-none,2,1,1,6,202826,33804
list-d-none,2,2,1,12,189423,15785
list-d-none,2,4,1,24,221710,9237
list-d-none,2,8,1,48,221504,4614
list-d-none,2,32,1,192,357714,1863
list-d-none,4,1,1,12,270459,22538
list-d-none,4,2,1,24,239978,9999
list-d-none,4,4,1,48,262071,5459
list-d-none,8,1,1,24,488881,20370
list-d-none,8,2,1,48,520729,10848
list-d-none,8,4,1,96,511603,5329
list-d-none,8,8,1,192,523257,2725
list-d-none,12,1,1,36,888545,24681
list-d-none,12,4,1,144,715283,4967
list-il-none,2,1,1,6,223484,37247
list-il-none,2,2,1,12,228191,19015
list-il-none,2,4,1,24,198426,8267
list-il-none,2,8,1,48,244907,5102
list-il-none,4,1,1,12,282059,23504
list-il-none,4,2,1,24,242588,10107
list-il-none,4,16,1,192,366005,1906
list-il-none,8,1,1,24,479378,19974
list-il-none,12,2,1,72,677944,9415
list-il-none,12,4,1,144,682992,4743
list-dl-none,2,1,1,6,177836,29639
list-dl-none,2,2,1,12,210773,17564
list-dl-none,2,4,1,24,224724,9363
list-dl-none,2,8,1,48,237058,4938
list-dl-none,2,16,1,96,284826,2966
list-dl-none,2,32,1,192,377606,1966
list-dl-none,4,1,1,12,259972,21664
list-dl-none,4,4,1,48,293153,6107
list-dl-none,8,1,1,24,495703,20654
list-dl-none,12,1,1,36,699272,19424
list-dl-none,12,2,1,72,699305,9712
list-i-m,12,32,1,1152,5802725,5037
list-d-m,12,32,1,1152,6133933,5324
list-il-m,12,32,1,1152,6213599,5393
list-dl-m,12,32,1,1152,6731838,5843
list-i-s,12,32,1,1152,2484672,2156
list-d-s,12,32,1,1152,1908803,1656
list-il-s,12,32,1,1152,3416017,2965
list-dl-s,12,32,1,1152,2989271,2594
list-none-none,1,1000,1,3000,21302472,7100
list-none-m,1,1000,1,3000,20538645,6846
list-none-m,2,1000,1,6000,85203273,14200
list-none-m,4,1000,1,12000,345518813,28793
list-none-m,8,1000,1,24000,1214743423,50614
list-none-m,12,1000,1,36000,2803630793,77878
list-none-m,16,1000,1,48000,4889239262,101859
list-none-m,24,1000,1,72000,10199499196,141659
list-none-s,1,1000,1,3000,20522438,6840
list-none-s,2,1000,1,6000,41210350,6868
list-none-s,4,1000,1,12000,120060391,10005
list-none-s,8,1000,1,24000,349441013,14560
list-none-s,12,1000,1,36000,813418886,22594
list-none-s,16,1000,1,48000,796308520,16589
list-none-s,24,1000,1,72000,3312603992,46008
